[2024-07-26 11:37:34.009] [APP] [info] ::: LOG SESSION STARTED :::
[11:37:34.011813] [Animation] [info] (th=8676) Log level for 'Animation' set to 'info'
[11:37:34.011816] [APP] [warning] (th=8676) Change animation log level to off
[11:37:35.047447] [Analytics] [info] (th=14596) Log level for 'Analytics' set to 'info'
[11:37:37.072813] [BaseScriptSystem] [info] (th=8676) Log level for 'BaseScriptSystem' set to 'info'
[11:37:37.120108] [MQYouTubeController] [info] (th=8676) Log level for 'MQYouTubeController' set to 'info'
[11:37:37.120113] [MQYouTubeController] [info] (th=8676) Videos received
[11:37:38.661395] [MQObjectInspectorController] [info] (th=8676) Log level for 'MQObjectInspectorController' set to 'info'
[11:37:39.080706] [FormulaController] [info] (th=8676) Log level for 'FormulaController' set to 'info'
[11:37:40.104082] [SoundSystemOpenAL] [info] (th=11752) Log level for 'SoundSystemOpenAL' set to 'info'
[11:37:40.130382] [BasePhysicsSystem] [info] (th=11752) Log level for 'BasePhysicsSystem' set to 'info'
[11:37:43.349727] [APP] [info] (th=11752) GameCore initialization time: 3
[11:37:43.385030] [BaseSymbolTable] [info] (th=11752) Log level for 'BaseSymbolTable' set to 'info'
[11:37:43.385036] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__749EF9E0_A050_4C02_83F7_60D11E8774AE__direction'
[11:37:43.386112] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__24D8050F_C2F9_48B7_8887_0E93458487A8__direction'
[11:37:43.387090] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__46673A3E_8AC5_4F1F_BB0F_7EF3F717C4B6__beltObj'
[11:37:43.388054] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__D7C76903_5D45_4F1E_9F6E_E6BE14710A61__beltObj'
[11:37:43.388937] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__546373BF_4D82_493D_A778_91C961367E5E__beltObj'
[11:37:43.389798] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__AEC896B7_A0EE_4093_993A_070C55A3B4D7__beltObj'
[11:37:43.390643] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__2EF891DE_EC2F_4442_9BEC_A0B26449D4A7__beltObj'
[11:37:43.391527] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__47EEE1FF_A215_4783_B2B7_63502F246865__beltObj'
[11:37:43.393178] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__75A831F8_836E_4D94_BA8B_922720EC367E__beltObj'
[11:37:43.394863] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__5255495A_F511_4BF5_9FC2_D81A2CD7C740__beltObj'
[11:37:43.395914] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__8E09EE94_AFE1_42B4_B8E3_9692E63642F5__beltObj'
[11:37:43.396835] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__FDDC2C1F_8B9C_4EE2_B065_D4DE1EB28D8E__beltObj'
[11:37:43.397740] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__2A8C67B3_2BB1_4EA4_8406_2715F3573F0C__beltObj'
[11:37:43.398660] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__20BE8A0A_1DD9_4F6B_98FA_8EA2FF6978AA__beltObj'
[11:37:43.399565] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__8FE967CA_AC66_4AA5_8623_69C51ADD9EB0__beltObj'
