[15:48:07.293851] [NetworkScript] [info] (th=1264) Log level for 'NetworkScript' set to 'info'
[15:48:07.293867] [NetworkScript] [info] (th=1264) gameTime: 72800 gettimeofday ms: 1715950087293 m_gameTimeOffset: 1715950014493
[15:48:08.526636] [PhotonClient] [info] (th=1264) Log level for 'PhotonClient' set to 'info'
[15:48:08.526649] [PhotonClient] [info] (th=1264) m_serverTimeOffset set to: 1712713133030 serverTime: 3236955495 currentTimeMS:1715950088525
[15:48:08.526650] [PhotonClient] [info] (th=1264)  Final m_serverTimeOffset: 1712713133030 ServerTime -1058011800
[15:48:08.526651] [PhotonClient] [info] (th=1264) PING: 86 variance: 34
[15:48:09.050651] [NetworkScript] [info] (th=1264) ping: 74 delay: 261 sendMin: 74 sendMotorMax: 320

[15:48:09.053326] [PhotonClient] [info] (th=1264) serverTimeOffset on PLAYING set to: 1712713133030
[15:48:13.131624] [EventBus] [info] (th=1264) Log level for 'EventBus' set to 'info'
[15:48:13.131644] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:13.131698] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:13.131750] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:13.131797] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:13.133257] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:13.133262] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:13.133266] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:13.133270] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:13.260676] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:13.288046] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:13.288099] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:13.288144] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:17.418079] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:17.418086] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:17.418091] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:17.418094] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:17.484228] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:17.484281] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:17.536029] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:17.536082] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:22.258027] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:22.258036] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:22.258040] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:22.258044] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStartEvent
[15:48:22.341289] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:22.405080] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:22.405156] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:48:22.405217] [EventBus] [error] (th=1264) Recursion in event publish detected for struct NetAuthorityStopEvent
[15:49:42.649667] [APP] [info] (th=17276) ::: LOG SESSION ENDED :::
